,locality,category_main_cb,furnished,object_type,parking_lots,price_summary_unit_cb,locality_street_id,terrace,balcony,locality_district_id,locality_ward_id,loggia,category_sub_cb,building_type,elevator,locality_gps_lat,basin,locality_region_id,category_type_cb,hash_id,cellar,object_kind,locality_gps_lon,usable_area,locality_quarter_id,ownership,locality_municipality_id,low_energy,easy_access,building_condition,locality_country_id,garage,room_count_cb,energy_efficiency_rating_cb,price_summary_czk,garden_area,estate_area
1683,"Šífařská, Praha - Hodkovičky",1.0,1.0,0.0,0.0,2.0,140604.0,0.0,1.0,5004.0,8724.0,0.0,2.0,2.0,0.0,50.0211028410056,0.0,10.0,2.0,3537466700.0,0.0,0.0,14.4031015618926,50.0,90.0,1.0,3468.0,0.0,0.0,6.0,112.0,0.0,0.0,2.0,20500.0,,
1684,"Blahníkova, Praha 3 - Žižkov",1.0,2.0,0.0,0.0,2.0,119300.0,0.0,0.0,5003.0,14971.0,0.0,2.0,7.0,0.0,50.085461,0.0,10.0,2.0,372012364.0,0.0,0.0,14.447801,40.0,89.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,14500.0,,
1685,"Cimburkova, Praha 3 - Žižkov",1.0,1.0,0.0,0.0,2.0,119392.0,0.0,0.0,5003.0,14971.0,0.0,2.0,2.0,0.0,50.0852814,0.0,10.0,2.0,4210894156.0,0.0,0.0,14.4493589,21.0,89.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,5.0,14490.0,,
1686,"Olgy Havlové, Praha 3 - Žižkov",1.0,3.0,0.0,0.0,2.0,5183408.0,0.0,0.0,5003.0,14971.0,1.0,2.0,7.0,1.0,50.0879558432154,0.0,10.0,2.0,3441587532.0,1.0,0.0,14.478930455105,34.0,89.0,1.0,3468.0,1.0,1.0,1.0,112.0,1.0,0.0,2.0,15500.0,,
1687,"Pavla Beneše, Praha 9 - Letňany",1.0,2.0,0.0,0.0,2.0,5183407.0,1.0,0.0,5009.0,13717.0,0.0,6.0,2.0,1.0,50.1383223427658,0.0,10.0,2.0,304248140.0,1.0,0.0,14.5215165993331,86.0,128.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,3.0,30000.0,,
1688,"Italská, Praha 2 - Vinohrady",1.0,3.0,0.0,0.0,2.0,119846.0,0.0,1.0,5002.0,14967.0,0.0,4.0,2.0,1.0,50.0803655757447,0.0,10.0,2.0,1646425420.0,0.0,0.0,14.4381709139476,87.0,88.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,5.0,26000.0,,
1689,"Vinohradská, Praha 2 - Vinohrady",1.0,2.0,0.0,0.0,2.0,122692.0,0.0,1.0,5002.0,14967.0,0.0,5.0,2.0,1.0,50.0769030742913,0.0,10.0,2.0,3525473612.0,1.0,0.0,14.4416940137604,86.0,88.0,1.0,3468.0,0.0,1.0,1.0,112.0,0.0,0.0,0.0,27500.0,,
1690,"Pplk. Sochora, Praha 7 - Holešovice",1.0,2.0,0.0,0.0,2.0,121879.0,0.0,0.0,5007.0,14951.0,0.0,2.0,2.0,1.0,50.0999283378256,0.0,10.0,2.0,4092925260.0,1.0,0.0,14.4316365229024,24.0,113.0,1.0,3468.0,0.0,1.0,9.0,112.0,0.0,0.0,0.0,15000.0,,
1691,"Menclova, Praha 8 - Libeň",1.0,1.0,0.0,1.0,2.0,5193846.0,1.0,0.0,5008.0,14955.0,0.0,6.0,2.0,1.0,50.1057188832849,0.0,10.0,2.0,4028790092.0,1.0,0.0,14.4659245426672,86.0,115.0,1.0,3468.0,0.0,1.0,6.0,112.0,0.0,0.0,0.0,40000.0,,
1692,"Hurbanova, Praha 4 - Krč",1.0,1.0,0.0,0.0,2.0,119786.0,0.0,0.0,5004.0,13676.0,1.0,7.0,5.0,1.0,50.024317150619,0.0,10.0,2.0,1515353420.0,1.0,0.0,14.4571962014419,74.0,90.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,17000.0,,
